latitude,longitude,store,address
40.8734366,-73.90686788,Starbucks - NY - Bronx  05931,"Target Riverdale T-1798_40-50 W 225th St_Bronx, New York 10463"
40.83533529,-73.86138109,Starbucks - NY - Bronx [W]  05932,"1385 Metropolitan Ave (UCO)_1385 Metropolitan Avenue_Bronx, New York 10462_718-319-1702"
40.87386348,-73.90841833,Starbucks - NY - Bronx [W]  05933,"225th Street - Kingsbridge Plaza UC_50 W. 225th Street_Bronx, New York 10463_718-561-3749"
40.62116,-74.02593,Starbucks - NY - Brooklyn  05935,"514 86th St, Brooklyn_514 86th Street_Brooklyn, New York 11209_718-491-1340"
40.581005,-73.985734,Starbucks - NY - Brooklyn [D]  05936,"Cropsey Avenue_3035 Cropsey Ave_Brooklyn, New York 11214_718-372-3573"
40.61330201,-73.99596086,Starbucks - NY - Brooklyn [W]  05937,"65th & 18th Avenue, Benxonhurst_6423 18th Avenue_Brooklyn, New York 11204_718-234-7160"
40.68444185,-73.97773109,Starbucks - NY - Brooklyn [W]  05938,"Atlantic Terminal (UCO) & Target_139 Flatbush Ave_Brooklyn, New York 11217_718-789-3418"
40.63197575,-74.02757781,Starbucks - NY - Brooklyn [W]  05939,"75th & 3rd, Bay Ridge_7419 3rd Avenue_Brooklyn, New York 11209_718-836-3882"
40.61924636,-74.03278956,Starbucks - NY - Brooklyn [W]  05940,"Bay Ridge_9202 Third Avenue_Brooklyn, New York 112096812_718-492-7395"
40.57765184,-73.9613523,Starbucks - NY - Brooklyn [W]  05941,"Brighton Beach_607 Brighton Beach Avenue_Brooklyn, New York 11235_718-934-3211"
40.68856931,-73.99288475,Starbucks - NY - Brooklyn [W]  05942,"Cobble Hill_167 Court Street_Brooklyn, New York 112016444_718-222-9729"
40.692401,-73.99128,Starbucks - NY - Brooklyn [W]  05943,"Court Street-Brooklyn_50 Court Street_Brooklyn, New York 10021_(718) 855-0369"
40.63253583,-73.94797195,Starbucks - NY - Brooklyn [W]  05944,"Hillel Place, Brooklyn College_33-42 Hillel Place_Brooklyn, New York 11210_718-338-2489"
40.7027,-73.9909,Starbucks - NY - Brooklyn [W]  05945,"Main Street, DUMBO_67 Front Street_Brooklyn, New York 11201_718-855-0856"
40.69492002,-73.99471148,Starbucks - NY - Brooklyn [W]  05946,"Montague Street_112 Montague Street_Brooklyn, New York 11201_718-243-0455"
40.67204505,-73.97730079,Starbucks - NY - Brooklyn [W]  05947,"Park Slope;164 7th Avenue, Brooklyn_164-166 7th Avenue_Brooklyn, New York 11215_718-369-1213"
40.76290023,-73.98314743,Starbucks - NY - Manhattan  06045,"1675 Broadway_1675 Broadway_Manhattan, New York 10019_212-757-0966"
40.73654595,-73.99069479,Starbucks - NY - Manhattan [W]  06046,"17th and Broadway (41 Union Square_41 Union Square West_Manhattan, New York 10003_646-336-6945"
40.70466604,-74.01327539,Starbucks - NY - Manhattan [W]  06047,"2 Broadway_2 Broadway_Manhattan, New York 10004_212-344-4290"
40.71226501,-74.00785828,Starbucks - NY - Manhattan [W]  06048,"Broadway and Barclay (Woolworth)_233 Broadway_Manhattan, New York 10007_212-619-1529"
40.76177666,-73.97912445,Starbucks - NY - Manhattan [W]  06049,"53rd & Sixth_1320 Avenue of the Americas_Manhattan, New York 10019_212-969-9066"
40.76108682,-73.98703381,Starbucks - NY - NY [W]  06065,"47th & Eighth_770 Eighth Ave_NY, New York 10019_212-830-9001"
40.749102,-73.984095,Starbucks - NY - NY [W]  06066,"35th & 5th_373 5th Avenue_NY, New York 10016_212-213-5363"
40.75828985,-73.97472581,Starbucks - NY - NY [W]  06067,"51st between Park & Madison_45 E. 51st Street_NY, New York 10022_212-688-8834"
40.76100327,-73.96927429,Starbucks - NY - New York  06073,"135 E 57 Street (New World)_135 East 57th Street_New York, New York 10022_212-935-1866"
40.76045,-73.984649,Starbucks - NY - New York  06074,"1600 Broadway_1602 Broadway_New York, New York 10019_212-245-1936"
40.740341,-73.990598,Starbucks - NY - New York  06075,"21st & 5th_4 W. 21st Street_New York, New York 10010_646-336-6583"
40.71425562,-74.01509222,Starbucks - NY - New York  06076,"250 Vesey Street, World Financial_250 Vesey Street_New York, New York 10281_(212) 587-9512"
40.729385,-73.98728,Starbucks - NY - New York  06077,"2nd Ave. & 9th Street_145 2nd Avenue_New York, New York 10003_212-780-0024"
40.7537,-73.977,Starbucks - NY - New York  06078,"45th & Park Avenue_230 Park Avenue_New York, New York 10169_212-681-9407"
40.756177,-73.978895,Starbucks - NY - New York  06079,"46th & 5th Ave_565 Fifth Avenue_New York, New York 10017_646-658-0783"
40.75504299,-73.97343785,Starbucks - NY - New York  06080,"48th & Lexington_511 Lexington Avenue_New York, New York 10017_212-486-1964"
40.770958,-73.982299,Starbucks - NY - New York  06081,"63rd & Broadway_1889 Broadway_New York, New York 10023_212-245-1362"
40.7519989,-73.97550201,Starbucks - NY - New York  06082,"Grand Central Station_107 E 43rd St and Lexington Ave_New York, New York 100175623_(212) 599-4368"
40.75044538,-73.98932192,Starbucks - NY - New York  06083,"Herald Square- Macy's_151 W. 34th Street_New York, New York 10001_2125647021"
40.7627,-73.9786,Starbucks - NY - New York  06084,"Hilton New York Marketplace_1335 Avenue of the Americas_New York, New York 10019"
40.75647302,-74.00361068,Starbucks - NY - New York  06085,"Javitz Convention Ctr Taxi North_655 W 34th St_New York, New York 10001_212-216-2426"
40.721905,-73.97588,Starbucks - NY - New York  06086,"Manhattan Mall_906 Sixth Avenue_New York, New York 10001_212-967-4032"
40.75810202,-73.98558581,Starbucks - NY - New York  06087,"Marriott Marquis 8th Floor Lobby_1535 Broadway_New York, New York 10036_212-398-1900"
40.75809971,-73.98558532,Starbucks - NY - New York  06088,"Marriott Marquis-Lobby_1535 Broadway_New York, New York 10036_212-398-1900"
40.7097,-74.0152,Starbucks - NY - New York  06089,"Marriott Financial Center_85 West St_New York, New York 10006"
40.730152,-73.99614,Starbucks - NY - New York  06090,"New York University_79 Washington Square_New York, New York 10012_212-995-3443"
40.75946806,-73.97374226,Starbucks - NY - New York  06091,"Park Avenue Plaza_55 E 53rd St_New York, New York 10022_(212) 750-7140"
40.750491,-73.989447,Starbucks - NY - New York  06092,"Palm-Macy's 35th Street Balcony_151 W 34th Street_New York, New York 10001_212-564-7178"
40.76100485,-73.9733666,Starbucks - NY - New York  06093,"SONY_550 Madison Avenue_New York, New York 10022_(212) 833-6102"
40.7565,-73.974299,Starbucks - NY - New York  06094,"Waldorf-Astoria_301 Park Ave_New York, New York 100226897_212-872-4844"
40.75577,-73.975365,Starbucks - NY - New York City  06095,"JP Morgan Chase - NYC/Park Ave_270 Park Ave._New York City, New York 10017"
40.74912032,-73.99209498,Starbucks - NY - New York [W]  06096,"1 Penn Plaza_1 Penn Plaza_New York, New York 10119_(212) 760-3001"
40.70845219,-74.00737411,Starbucks - NY - New York [W]  06097,"100 Williams Street_100 William Street_New York, New York 10038_212-509-9709"
40.7575091,-73.98222319,Starbucks - NY - New York [W]  06098,"1185 6th_1185 Sixth Avenue_New York, New York 10036_212-382-0352"
40.8075,-73.9445,Starbucks - NY - New York [W]  06099,"125th Street and Lennox (UCO)_77-83 West 125th Street_New York, New York 10027_917-492-2454"
40.7624005,-73.97908,Starbucks - NY - New York [W]  06100,"1345 Ave. of the Americas Acquisiti_1345 6th Ave_New York, New York 10105_(212) 265-8610"
